Configuration,K-Folds,Model_Type,Accuracy,Precision,Recall,F1-score,Macro-AUC
RF_depth=None,10,rf,0.9907407407407407,0.9939024390243902,0.9895833333333334,0.9915944313107433,1.0
GradientBoosting_depth=2,10,gb,0.9907407407407407,0.9939024390243902,0.9895833333333334,0.9915944313107433,0.9902252567693745
GradientBoosting,10,gb,0.9907407407407407,0.9939024390243902,0.9895833333333334,0.9915944313107433,0.9901632528011205
K=5,5,rf,0.9814814814814815,0.9880952380952381,0.9770833333333333,0.9821730336779636,1.0
K=10,10,rf,0.9814814814814815,0.9880952380952381,0.9770833333333333,0.9821730336779636,1.0
K=15,15,rf,0.9814814814814815,0.9880952380952381,0.9770833333333333,0.9821730336779636,1.0
RF_depth=2,10,rf,0.9814814814814815,0.9880952380952381,0.9770833333333333,0.9821730336779636,1.0
RF_depth=3,10,rf,0.9814814814814815,0.9880952380952381,0.9770833333333333,0.9821730336779636,1.0
RF_depth=5,10,rf,0.9814814814814815,0.9880952380952381,0.9770833333333333,0.9821730336779636,1.0
LogisticRegression,10,lr,0.9814814814814815,0.9880952380952381,0.9770833333333333,0.9821730336779636,1.0
LogisticRegression_C=0.1,10,lr,0.9814814814814815,0.9880952380952381,0.9770833333333333,0.9821730336779636,1.0
LogisticRegression_C=10,10,lr,0.9814814814814815,0.9880952380952381,0.9770833333333333,0.9821730336779636,1.0
